target,ks_statistic,ks_pvalue,n_val_benign,n_test_benign,val_mean,test_mean,val_p95,test_p95,delta_mean
Recon_Ping_Sweep,0.05508726396277497,1.1989955237937467e-50,38546,37607,0.052905429154634476,0.09381943941116333,0.3913077116012573,0.8273018002510071,0.040914010256528854
Recon_VulScan,0.056757494347290105,9.671228161337422e-54,38546,37607,0.05335928872227669,0.09349750727415085,0.39568477869033813,0.7960294485092163,0.04013821855187416
MQTT_Malformed_Data,0.05427422210989269,3.5570233625457115e-49,38546,37607,0.04895396530628204,0.09261024743318558,0.35815173387527466,0.8249125480651855,0.043656282126903534
MQTT_DoS_Connect_Flood,0.05577758984509307,6.479421545875801e-52,38546,37607,0.053937431424856186,0.09855011850595474,0.4005371928215027,0.855898380279541,0.044612687081098557
ARP_Spoofing,0.05734220415548702,7.597713435652263e-55,38546,37607,0.035620272159576416,0.06147141009569168,0.2234356701374054,0.5297680497169495,0.025851137936115265
AGGREGATE_E7,0.06451015472328187,2.593156252963473e-69,38546,37607,0.05433569848537445,0.08580957353115082,0.3946473002433777,0.7023398876190186,0.03147387504577637
