seed,variant,variant_name,h2_strict_pass,h2_strict_pass_int,h2_strict_avg,h2_strict_evaluated,h2_binary_pass,h2_binary_pass_int,h2_binary_avg,avg_flag_rate,avg_false_alert_rate
100,baseline_ae_p90,"Baseline (Phase 6, AE p90)",0/4,0,0.36957264509363313,3,5/5,5,0.8566184321591234,0.9647516217100692,0.1889435477437711
100,baseline_ae_p95,Baseline (AE p95),0/4,0,0.27263469111731903,3,4/5,4,0.8358159433744351,0.9599622534933451,0.07802802669715744
100,confidence_0.6,Confidence floor (τ=0.6),0/4,0,0.42962412541604467,3,5/5,5,0.8754711578077277,0.9650535489337285,0.19211848857925387
100,confidence_0.7,Confidence floor (τ=0.7),0/4,0,0.5127686122170548,3,5/5,5,0.8946428139701226,0.9654041162520677,0.19695801313585237
100,entropy_benign_p90,Entropy (benign-val p90),3/4,3,0.9132217617793281,3,5/5,5,0.979110100240996,0.9693710858172656,0.277379211317042
100,entropy_benign_p95,Entropy (benign-val p95),3/4,3,0.7955196846055755,3,5/5,5,0.9558094966814978,0.9671786951902342,0.22852660408966416
100,entropy_benign_p99,Entropy (benign-val p99),0/4,0,0.4408710850969834,3,5/5,5,0.8797635027580046,0.9651940896681266,0.19380966309463665
100,ensemble_p90,Ensemble AE+IF (p90),0/4,0,0.23518141659048608,3,4/5,4,0.8157997067989514,0.9629770427719027,0.15280134017603106
100,ensemble_p95,Ensemble AE+IF (p95),0/4,0,0.10086881348912546,3,4/5,4,0.7908707751295748,0.9618332160292647,0.1283324912915149
100,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",3/4,3,0.7955196846055755,3,5/5,5,0.9558094966814978,0.9671786951902342,0.22852660408966416
100,full_enhanced,Full enhanced (conf+ent+ensemble),1/4,1,0.7150378797888711,3,5/5,5,0.9323714687434912,0.966471060264405,0.21476320897705214
