beta,target,variant,variant_name,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,ae_only_rescue_recall,flag_rate_all,false_alert_rate_benign,case1_pct,case2_pct,case3_pct,case4_pct,case5_pct
1.0,Recon_Ping_Sweep,vae_p90,VAE-only baseline (p90),169,31,0.2903225806451613,0.8698224852071006,0.16129032258064516,0.9646350648011583,0.1860291966921052,0.6272189349112426,0.05325443786982249,0.1893491124260355,0.1301775147928994,0.0
1.0,Recon_Ping_Sweep,vae_p95,VAE-only baseline (p95),169,31,0.12903225806451613,0.8402366863905325,0.16129032258064516,0.9605387618966499,0.09131278751296301,0.5857988165680473,0.023668639053254437,0.23076923076923078,0.15976331360946747,0.0
1.0,Recon_Ping_Sweep,vae_p99,VAE-only baseline (p99),169,31,0.03225806451612903,0.8224852071005917,0.16129032258064516,0.9575217311390748,0.02387853325178823,0.23668639053254437,0.005917159763313609,0.5798816568047337,0.17751479289940827,0.0
1.0,Recon_Ping_Sweep,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,169,31,1.0,1.0,0.16129032258064516,0.9687739558069997,0.26425931342569203,0.47337278106508873,0.20710059171597633,0.16568047337278108,0.0,0.15384615384615385
1.0,Recon_Ping_Sweep,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9678930545531164,0.24476826122796289,0.5266272189349113,0.15384615384615385,0.16568047337278108,0.005917159763313609,0.14792899408284024
1.0,Recon_Ping_Sweep,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9644546257402484,0.16419815459887788,0.4970414201183432,0.11242603550295859,0.1952662721893491,0.005917159763313609,0.1893491124260355
1.0,Recon_Ping_Sweep,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,169,31,1.0,1.0,0.16129032258064516,0.965390443230061,0.18461988459595288,0.44970414201183434,0.15976331360946747,0.1893491124260355,0.0,0.20118343195266272
1.0,Recon_Ping_Sweep,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9678930545531164,0.24476826122796289,0.5266272189349113,0.15384615384615385,0.16568047337278108,0.005917159763313609,0.14792899408284024
1.0,Recon_Ping_Sweep,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),169,31,1.0,1.0,0.16129032258064516,0.9682763474651114,0.252426409976866,0.3727810650887574,0.17159763313609466,0.26627218934911245,0.0,0.1893491124260355
1.0,Recon_Ping_Sweep,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9674167402618944,0.2333076288988752,0.42011834319526625,0.1242603550295858,0.27218934911242604,0.005917159763313609,0.17751479289940827
1.0,Recon_VulScan,vae_p90,VAE-only baseline (p90),973,522,0.41762452107279696,0.6875642343268242,0.44061302681992337,0.9642708244608122,0.17608423963623793,0.394655704008222,0.22404933196300103,0.06885919835560124,0.31243576567317577,0.0
1.0,Recon_VulScan,vae_p95,VAE-only baseline (p95),973,522,0.32375478927203066,0.6372045220966084,0.44061302681992337,0.9601117601438133,0.07987874597814237,0.38848920863309355,0.1736896197327852,0.0750256937307297,0.36279547790339156,0.0
1.0,Recon_VulScan,vae_p99,VAE-only baseline (p99),973,522,0.11877394636015326,0.527235354573484,0.44061302681992337,0.9570857634701682,0.012497673305501635,0.3771839671120247,0.06372045220966084,0.08633093525179857,0.4727646454265159,0.0
1.0,Recon_VulScan,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,973,522,0.7950191570881227,0.8900308324768756,0.44061302681992337,0.9689039615900156,0.2654558991677081,0.0328879753340185,0.5858170606372045,0.0421377183967112,0.10996916752312436,0.22918807810894143
