seed,variant,variant_name,h2_strict_pass,h2_strict_pass_int,h2_strict_avg,h2_strict_evaluated,h2_binary_pass,h2_binary_pass_int,h2_binary_avg,avg_flag_rate,avg_false_alert_rate
7,baseline_ae_p90,"Baseline (Phase 6, AE p90)",0/4,0,0.3199573362191034,4,5/5,5,0.8493072868483139,0.9647401901670799,0.18887441167867686
7,baseline_ae_p95,Baseline (AE p95),0/4,0,0.2212056602503171,4,4/5,4,0.8264045257082806,0.9599333384140192,0.0776663918951259
7,confidence_0.6,Confidence floor (τ=0.6),0/4,0,0.4023875784098622,4,5/5,5,0.8634922780429433,0.965047721088283,0.19224612439173558
7,confidence_0.7,Confidence floor (τ=0.7),0/4,0,0.5375963205623046,4,5/5,5,0.8892141516582583,0.9654045645478713,0.19725583003164304
7,entropy_benign_p90,Entropy (benign-val p90),4/4,4,0.9342393300613651,4,5/5,5,0.9784698396811482,0.9693717582609709,0.27741112027016246
7,entropy_benign_p95,Entropy (benign-val p95),4/4,4,0.8267293642267635,4,5/5,5,0.9557773324613301,0.9671923682122412,0.22884037546201505
7,entropy_benign_p99,Entropy (benign-val p99),0/4,0,0.43163287836758263,4,5/5,5,0.8713641573038426,0.9651714507300497,0.19361289121706066
7,ensemble_p90,Ensemble AE+IF (p90),0/4,0,0.219147508910361,4,4/5,4,0.8075728697740898,0.9629530589464153,0.1522961150849576
7,ensemble_p95,Ensemble AE+IF (p95),0/4,0,0.08497846894450817,4,4/5,4,0.7790255425058717,0.961727418219638,0.12604568298455074
7,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",4/4,4,0.8267293642267635,4,5/5,5,0.9557773324613301,0.9671923682122412,0.22884037546201505
7,full_enhanced,Full enhanced (conf+ent+ensemble),2/4,2,0.7724330567871098,4,5/5,5,0.9329613279760703,0.9665255282045304,0.21577365915919908
