row_kind,beta,variant,strict_pass,strict_avg,binary_avg,fpr,delta_strict_vs_baseline,delta_fpr_vs_baseline,fpr_within_budget,vae_only_p90_strict_avg,vae_test_auc,vae_auc_vs_ae,n_candidates_under_budget,ship_eligible,replace_eligible,decision_flag
baseline_§15D,—,entropy_benign_p93_ae_p90,4/4,0.8589586873140701,0.9621031672420064,0.247331613795304,0.0,0.0,True,,,,,False,False,BASELINE
vae_β,0.1,entropy_benign_p93_vae_p95,4/4,0.8191566360136817,0.9512171338819388,0.1800941314117052,-0.039802051300388386,-0.0672374823835988,True,0.3143762860079235,0.9876367817437529,-0.0015632182562470565,7.0,False,False,SHELVE-CANDIDATE
vae_β,0.5,entropy_benign_p93_vae_p90,4/4,0.8588109812736484,0.9618075625721,0.2425133618741191,-0.00014770604042169122,-0.004818251921184902,True,0.3003864995992936,0.9903670463757736,0.0011670463757735838,8.0,False,True,REPLACE-AE-ONLY-CANDIDATE
vae_β,1.0,entropy_benign_p93_vae_p95,4/4,0.8266811670328749,0.9530932820094328,0.1789454090993698,-0.03227752028119524,-0.0683862046959342,True,0.3310644948030146,0.9868377418493748,-0.002362258150625185,7.0,False,False,SHELVE-CANDIDATE
vae_β,4.0,entropy_benign_p93_vae_p95,4/4,0.8056675295781988,0.9466690346885483,0.2078761932618927,-0.05329115773587134,-0.039455420533411306,True,0.3047930642434052,0.981782822310732,-0.007417177689267973,7.0,False,False,SHELVE-CANDIDATE
