variant,macro_f1,macro_f1_ci_lo,macro_f1_ci_hi,mcc,accuracy,delta_f1_vs_E7,delta_ci_lo,delta_ci_hi,h1_significant
AE_p90,0.8581685421573143,0.8545575111549859,0.8615256589219383,0.9823793730331145,0.9861633500248804,-0.0040767495809600485,-0.004196851355120731,-0.003980279138569231,False
AE_p95,0.8610145085218655,0.8573841496085897,0.8643407791442222,0.9877855330860578,0.990434488292755,-0.0012307832164089039,-0.0012934845828350306,-0.0011577484985832776,False
AE_p99,0.8621043867245815,0.8584421423979238,0.8653864952846189,0.9902403326252954,0.9923610395083091,-0.00014090501369290465,-0.00016481166024279737,-0.00011894470327992456,False
IF,0.8593518220884648,0.8556909277430106,0.862584594171398,0.9848366360419384,0.9881123160306097,-0.0028934696498095214,-0.0029879371626651773,-0.0028019505079767137,False
