variant,threshold,case1_n,case1_pct,case2_n,case2_pct,case3_n,case3_pct,case4_n,case4_pct
AE_p90,0.20579759776592255,837209,93.82932033873232,6140,0.6881340583770795,17317,1.940784607315291,31602,3.54176099557532
AE_p95,0.38449913263320923,834022,93.4721406572913,2236,0.25059735415816775,20504,2.297964288756293,35506,3.979297699794232
AE_p99,1.315197467803955,747621,83.788839227676,325,0.0364240340346174,106905,11.98126571837161,37417,4.193471019917783
IF,,496369,55.63003492224309,4118,0.4615205297063214,358157,40.14007002380451,33624,3.7683745242460787
