variant,accuracy,precision,recall,f1,mcc
E7_only,0.9972911726073332,0.9986647568359535,0.9985070103818942,0.9985858773791282,0.9665101733524627
AE_p90,0.9911876252426401,0.9919434484457386,0.9989130193140906,0.9954160343771188,0.8854521001342414
AE_p95,0.9953545347362003,0.9963548803518363,0.9988042042400437,0.9975780388600597,0.9413096977321084
AE_p99,0.997065903966073,0.9983576085189115,0.9985795537645921,0.9984685688079405,0.9635764461612202
IF,0.9928194219673909,0.993949762649014,0.9985818938737113,0.9962604439956692,0.9078665048915135
