percentile,threshold,val_attack_recall,val_benign_fpr,val_binary_f1,test_attack_recall,test_benign_fpr,test_binary_f1
50,0.01519474945962429,0.9996761021203744,0.5001037721164323,0.988811381645906,0.9995097471395091,0.5354854149493445,0.9881107504101985
60,0.02305382676422596,0.9996483394449779,0.4002749961085456,0.9909791206176375,0.9994266732657744,0.4402371898848619,0.990120483044973
70,0.04964511841535568,0.9995604243062223,0.30070565039173974,0.9931207119382168,0.9992312741543138,0.3529662031004866,0.9919097017954759
80,0.10180272907018661,0.9994725091674668,0.20124007679136616,0.9952696659046757,0.9990592761340461,0.28178264684766136,0.993368099283643
85,0.14211127161979675,0.9994123567041078,0.15205209360244903,0.9963276101558387,0.9989902429150271,0.25000664769856673,0.9940245456413528
90,0.20579759776592255,0.9993255983434937,0.1027343952679915,0.9973775007692011,0.9989130193140906,0.18438056744754966,0.9954160343771188
92,0.2575899362564087,0.9993094034495125,0.08306957920406786,0.9978060056192591,0.9988872781137784,0.14507937352088707,0.9962615829952498
95,0.38449913263320923,0.9992735433271253,0.0533648108753178,0.9984483078464766,0.9988042042400437,0.08304305049591831,0.9975780388600597
97,0.5614741444587708,0.9992272722014645,0.03351839360763763,0.9988667664220579,0.9987234704754283,0.05288908979711224,0.9981990621089685
99,1.315197467803955,0.9991902553009359,0.013905463601930162,0.9992850432907444,0.9985795537645921,0.03733347515090276,0.9984685688079405
