beta,variant,variant_name,h2_strict_pass,h2_strict_pass_int,h2_strict_avg,h2_strict_evaluated,h2_binary_pass,h2_binary_pass_int,h2_binary_avg,avg_flag_rate,avg_false_alert_rate
4.0,vae_p90,VAE-only baseline (p90),0/4,0,0.30479306424340524,4,4/5,4,0.8438752754986331,0.9641096621194528,0.17471747281091285
4.0,vae_p95,VAE-only baseline (p95),0/4,0,0.1656911057658843,4,4/5,4,0.8124536221126695,0.9615539277436824,0.11720158481133831
4.0,vae_p99,VAE-only baseline (p99),0/4,0,0.06969790303793597,4,4/5,4,0.7867103118949366,0.9573520511774489,0.021230090142792563
4.0,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,4/4,4,0.8462819384129003,4,5/5,5,0.9583534594796388,0.9682523636396239,0.2528093174143112
4.0,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,4/4,4,0.7855012648973536,4,5/5,5,0.9442215747560722,0.9673898425136842,0.23441380594038344
4.0,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,1/4,1,0.7392635201317476,4,5/5,5,0.9309135767980022,0.9653765460601523,0.18803414257983886
4.0,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,4/4,4,0.8056675295781988,4,5/5,5,0.9466690346885483,0.9663105703667508,0.20787619326189272
4.0,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),4/4,4,0.7855012648973536,4,5/5,5,0.9442215747560722,0.9673898425136842,0.23441380594038344
4.0,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),4/4,4,0.8589586873140701,4,5/5,5,0.9621031672420063,0.968038526541353,0.24733161379530405
4.0,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),4/4,4,0.8035264623662012,4,5/5,5,0.9493664825372174,0.9671816091129571,0.2289095115271093
