beta,target,variant,variant_name,n_target,n_loo_benign,h2_strict_rescue_recall,h2_binary_recall,ae_only_rescue_recall,flag_rate_all,false_alert_rate_benign,case1_pct,case2_pct,case3_pct,case4_pct,case5_pct
4.0,Recon_Ping_Sweep,vae_p90,VAE-only baseline (p90),169,31,0.25806451612903225,0.863905325443787,0.16129032258064516,0.9643369480918289,0.17919536256547983,0.6153846153846154,0.047337278106508875,0.20118343195266272,0.13609467455621302,0.0
4.0,Recon_Ping_Sweep,vae_p95,VAE-only baseline (p95),169,31,0.0967741935483871,0.834319526627219,0.16129032258064516,0.9617637301797218,0.12085515994362751,0.4911242603550296,0.01775147928994083,0.3254437869822485,0.16568047337278108,0.0
4.0,Recon_Ping_Sweep,vae_p99,VAE-only baseline (p99),169,31,0.06451612903225806,0.8284023668639053,0.16129032258064516,0.9575811303330389,0.02499534661100327,0.23668639053254437,0.011834319526627219,0.5798816568047337,0.17159763313609466,0.0
4.0,Recon_Ping_Sweep,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,169,31,1.0,1.0,0.16129032258064516,0.9684993746273541,0.25795729518440713,0.46153846153846156,0.20118343195266272,0.17751479289940827,0.0,0.15976331360946747
4.0,Recon_Ping_Sweep,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9676397674241372,0.23907783125481957,0.514792899408284,0.14792899408284024,0.17751479289940827,0.005917159763313609,0.15384615384615385
4.0,Recon_Ping_Sweep,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9656639036701977,0.19328848352700295,0.40828402366863903,0.10059171597633136,0.28402366863905326,0.005917159763313609,0.20118343195266272
4.0,Recon_Ping_Sweep,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,169,31,1.0,1.0,0.16129032258064516,0.9665840308068876,0.21339112399287366,0.3609467455621302,0.14792899408284024,0.2781065088757396,0.0,0.21301775147928995
4.0,Recon_Ping_Sweep,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9676397674241372,0.23907783125481957,0.514792899408284,0.14792899408284024,0.17751479289940827,0.005917159763313609,0.15384615384615385
4.0,Recon_Ping_Sweep,entropy_benign_p93_ae_p90,Entropy p93 + AE p90 (§15D baseline / SOFT tripwire),169,31,1.0,1.0,0.16129032258064516,0.9682763474651114,0.252426409976866,0.3727810650887574,0.17159763313609466,0.26627218934911245,0.0,0.1893491124260355
4.0,Recon_Ping_Sweep,entropy_benign_p95_ae_p90,Entropy p95 + AE p90 (§15C anchor / HARD tripwire),169,31,0.967741935483871,0.9940828402366864,0.16129032258064516,0.9674167402618944,0.2333076288988752,0.42011834319526625,0.1242603550295858,0.27218934911242604,0.005917159763313609,0.17751479289940827
4.0,Recon_VulScan,vae_p90,VAE-only baseline (p90),973,522,0.4061302681992337,0.6813977389516958,0.44061302681992337,0.9639491722217989,0.16874518041853911,0.39157245632065774,0.21788283658787255,0.07194244604316546,0.3186022610483042,0.0
4.0,Recon_VulScan,vae_p95,VAE-only baseline (p95),973,522,0.28160919540229884,0.6145940390544707,0.44061302681992337,0.9613367284268852,0.10947429999734092,0.3874614594039055,0.1510791366906475,0.07605344295991778,0.3854059609455293,0.0
4.0,Recon_VulScan,vae_p99,VAE-only baseline (p99),973,522,0.14559386973180077,0.5416238437821171,0.44061302681992337,0.9571507663616761,0.0135347142819156,0.37307297019527236,0.07810894141829394,0.09044193216855087,0.45837615621788286,0.0
4.0,Recon_VulScan,entropy_benign_p93_vae_p90,Entropy p93 + VAE p90,973,522,0.7816091954022989,0.8828365878725591,0.44061302681992337,0.968633863368405,0.25926024410349136,0.029804727646454265,0.579650565262076,0.045220966084275435,0.1171634121274409,0.22816032887975335
4.0,Recon_VulScan,entropy_benign_p95_vae_p90,Entropy p95 + VAE p90,973,522,0.7164750957854407,0.8478931140801644,0.44061302681992337,0.9677753769046968,0.24067327891084106,0.06783144912641316,0.5416238437821171,0.05344295991778006,0.15210688591983557,0.18499486125385406
4.0,Recon_VulScan,entropy_benign_p95_vae_p95,Entropy p95 + VAE p95,973,522,0.6436781609195402,0.8088386433710175,0.44061302681992337,0.9657983924112487,0.19491052197729147,0.06783144912641316,0.47070914696813976,0.05344295991778006,0.19116135662898254,0.21685508735868447
4.0,Recon_VulScan,entropy_benign_p93_vae_p95,Entropy p93 + VAE p95,973,522,0.7164750957854407,0.8478931140801644,0.44061302681992337,0.9667173988084298,0.21474725450049192,0.029804727646454265,0.5087358684480987,0.045220966084275435,0.15210688591983557,0.2641315519013361
4.0,Recon_VulScan,conf07_ent_p95_vae_p90,Confidence + Entropy p95 + VAE p90 (τ=0.7),973,522,0.7164750957854407,0.8478931140801644,0.44061302681992337,0.9677753769046968,0.24067327891084106,0.06783144912641316,0.5416238437821171,0.05344295991778006,0.15210688591983557,0.18499486125385406
