target,sample_kind,n,entropy_mean,entropy_median,entropy_std,entropy_p90
Recon_Ping_Sweep,novel,169,0.30440986156463623,0.12697771191596985,0.36600640416145325,0.8992633819580078
Recon_Ping_Sweep,known,854492,0.010779323056340218,4.031108983326703e-05,0.08128906041383743,0.00035887156263925135
Recon_Ping_Sweep,benign,37607,0.09381943941116333,0.0005162518937140703,0.2466779202222824,0.3468471169471741
Recon_VulScan,novel,973,0.48314806818962097,0.4863135814666748,0.3435157835483551,0.9337688684463501
Recon_VulScan,known,853688,0.010273905470967293,4.091795926797204e-05,0.07798545062541962,0.0004030719574075192
Recon_VulScan,benign,37607,0.09349750727415085,0.0005856541101820767,0.2445661872625351,0.3571145534515381
MQTT_Malformed_Data,novel,1747,0.32704034447669983,0.1428636610507965,0.38032305240631104,0.8895465731620789
MQTT_Malformed_Data,known,852914,0.010465182363986969,3.88154512620531e-05,0.07913628965616226,0.0003578809555619955
MQTT_Malformed_Data,benign,37607,0.09261024743318558,0.0005637306603603065,0.24723608791828156,0.328033447265625
MQTT_DoS_Connect_Flood,novel,3131,0.19151438772678375,0.058634910732507706,0.258830189704895,0.5907791256904602
MQTT_DoS_Connect_Flood,known,851530,0.011346940882503986,3.764530265470967e-05,0.08409038186073303,0.0003121093614026904
MQTT_DoS_Connect_Flood,benign,37607,0.09855011850595474,0.0005503888241946697,0.26140809059143066,0.3618253469467163
ARP_Spoofing,novel,1744,0.3820952773094177,0.2934587299823761,0.30374857783317566,0.8355622887611389
ARP_Spoofing,known,852917,0.012100369669497013,4.033475124742836e-05,0.09037886559963226,0.00036442672717384994
ARP_Spoofing,benign,37607,0.06147141009569168,0.00041587420855648816,0.16715776920318604,0.1970950961112976
