target,n,pearson_entropy_ae,pearson_entropy_if,pearson_ae_if
Recon_Ping_Sweep,169,0.07792832944827559,-0.270637975533353,0.2730034149732908
Recon_VulScan,973,0.038086054699131226,0.03949668718447228,0.04882390409214711
MQTT_Malformed_Data,1747,0.31583457832345574,-0.10994233382766119,0.4490755684187961
MQTT_DoS_Connect_Flood,3131,0.07971982621321581,0.0018253521186005748,0.09662228705544261
ARP_Spoofing,1744,-0.009745567175827472,-0.23697251169587766,0.03515924617180561
