seed,variant,variant_name,h2_strict_pass,h2_strict_pass_int,h2_strict_avg,h2_strict_evaluated,h2_binary_pass,h2_binary_pass_int,h2_binary_avg,avg_flag_rate,avg_false_alert_rate
42,baseline_ae_p90,"Baseline (Phase 6, AE p90)",0/4,0,0.31406734131924746,4,4/5,4,0.8486069126492145,0.9647480353436411,0.18880527561358257
42,baseline_ae_p95,Baseline (AE p95),0/4,0,0.21837862351049664,4,4/5,4,0.8265293332451378,0.9597986255250663,0.07418831600499906
42,confidence_0.6,Confidence floor (τ=0.6),0/4,0,0.39568015906199566,4,5/5,5,0.8640532597915476,0.965062963145602,0.1923631238865105
42,confidence_0.7,Confidence floor (τ=0.7),0/4,0,0.5381241894025085,4,5/5,5,0.891457356715357,0.9654115131328256,0.19728242082591005
42,entropy_benign_p90,Entropy (benign-val p90),4/4,4,0.9084667465666437,4,5/5,5,0.9728840311480722,0.969393276459539,0.27817693514505276
42,entropy_benign_p95,Entropy (benign-val p95),4/4,4,0.8035264623662012,4,5/5,5,0.9493664825372174,0.9671816091129571,0.2289095115271093
42,entropy_benign_p99,Entropy (benign-val p99),0/4,0,0.44026746263425814,4,5/5,5,0.873598105202985,0.9651674160678182,0.19351716435769936
42,ensemble_p90,Ensemble AE+IF (p90),0/4,0,0.21665056310365322,4,4/5,4,0.8099982105846838,0.9628015349648311,0.14841385912197197
42,ensemble_p95,Ensemble AE+IF (p95),0/4,0,0.08207595676523463,4,4/5,4,0.7825032566206678,0.9615189606710091,0.1208338873082139
42,conf07_ent_p95,"Confidence + Entropy (τ=0.7, benign p95)",4/4,4,0.8035264623662012,4,5/5,5,0.9493664825372174,0.9671816091129571,0.2289095115271093
42,full_enhanced,Full enhanced (conf+ent+ensemble),2/4,2,0.7637259523462345,4,5/5,5,0.9308037602954128,0.9665221659860042,0.2158853404951206
