method,Yacoubi SHAP,Our SHAP,Cohen's d,RF Importance
Yacoubi SHAP,1.0,0.42857142857142855,0.17647058823529413,0.3333333333333333
Our SHAP,0.42857142857142855,1.0,0.0,0.3333333333333333
Cohen's d,0.17647058823529413,0.0,1.0,0.25
RF Importance,0.3333333333333333,0.3333333333333333,0.25,1.0
