method_a,method_b,spearman,kendall
Our SHAP,Yacoubi SHAP,0.5117845117845118,0.44242424242424244
Our SHAP,RF Importance,0.18552188552188553,0.15757575757575756
Cohen's d,Yacoubi SHAP,-0.3727272727272727,-0.29696969696969694
Cohen's d,Our SHAP,-0.7407407407407407,-0.606060606060606
Cohen's d,RF Importance,-0.09831649831649832,-0.048484848484848485
RF Importance,Yacoubi SHAP,0.07171717171717172,0.048484848484848485
