,DDoS,DoS,MQTT,Recon,Spoofing
DDoS,1.0000001,0.99097115,0.7439229,0.4600609,0.29933125
DoS,0.99097115,1.0000001,0.74115103,0.44479898,0.30334353
MQTT,0.7439229,0.74115103,1.0000001,0.70736396,0.6384053
Recon,0.4600609,0.44479898,0.70736396,0.99999976,0.7516913
Spoofing,0.29933125,0.30334353,0.6384053,0.7516913,1.0
