sweep,threshold_name,threshold,coverage,n_retained,n_deferred,retained_accuracy,retained_macro_f1,retained_mcc,deferred_error_rate,deferred_mistakes_avoided
confidence_floor,tau_c,0.5,0.9992367763945361,891587,681,0.9930584452218347,0.9115998428810755,0.991128143787994,0.5345080763582967,364
confidence_floor,tau_c,0.55,0.9975780819215752,890107,2161,0.9938265848937262,0.9168697534985174,0.9921019249438762,0.4895881536325775,1058
confidence_floor,tau_c,0.6,0.9957815364890369,888504,3764,0.9947237153687547,0.923424389563626,0.9932426543057841,0.4954835281615303,1865
confidence_floor,tau_c,0.65,0.9939009355933419,886826,5442,0.9955312541580874,0.9286206544217739,0.9942709070875526,0.4759279676589489,2590
confidence_floor,tau_c,0.7,0.9919553318061389,885090,7178,0.996360822063293,0.9340724612572489,0.9953295497779586,0.4641961549178044,3332
confidence_floor,tau_c,0.75,0.9893798724150143,882792,9476,0.9976687600250116,0.9465449102069957,0.9970035438985798,0.4743562684677079,4495
confidence_floor,tau_c,0.8,0.9876550543110366,881253,11015,0.9980017089303526,0.9508561394864723,0.9974292399945304,0.4350431230140717,4792
confidence_floor,tau_c,0.85,0.9856993638682549,879508,12760,0.9983172410029244,0.9572805595367907,0.9978330063957788,0.3975705329153605,5073
confidence_floor,tau_c,0.9,0.9814002071126612,875672,16596,0.9986467535789656,0.9619497187539795,0.9982534244335614,0.3234514340805013,5368
confidence_floor,tau_c,0.95,0.977385718192292,872090,20178,0.9990310633076861,0.968784349350761,0.9987468685921093,0.28288234711071464,5708
confidence_floor,tau_c,0.96,0.9763893807690066,871201,21067,0.9991012407010552,0.9702901368251721,0.9988370411018508,0.27388807139127547,5770
confidence_floor,tau_c,0.97,0.975098288854918,870049,22219,0.9991908501705077,0.9709602803272269,0.9989522791980587,0.26324317025968763,5849
confidence_floor,tau_c,0.98,0.9732961397248361,868441,23827,0.9992895314707619,0.9721017616854176,0.9990791586598452,0.24912913921181853,5936
confidence_floor,tau_c,0.99,0.9705817086346255,866019,26249,0.9994180266252819,0.973493464227645,0.9992445845463395,0.23044687416663492,6049
confidence_floor,tau_c,0.995,0.9687728350674909,864405,27863,0.9995418814097559,0.9751898888127174,0.9994047659249535,0.22097405160966155,6157
confidence_floor,tau_c,0.999,0.9614958734371287,857912,34356,0.9997517227874188,0.9784640746996603,0.9996761141406227,0.1845383630224706,6340
entropy_ceiling,tau_H,0.05,0.9749032801803942,869875,22393,0.9992033338123294,0.9710932351333422,0.9989683341079146,0.2616889206448444,5860
entropy_ceiling,tau_H,0.084,0.9778653947020401,872518,19750,0.9989799637371378,0.9680099200291901,0.9986811073305326,0.2867341772151899,5663
entropy_ceiling,tau_H,0.094,0.9785378384072947,873118,19150,0.9989096548232885,0.9668078079051788,0.9985906863713484,0.2924804177545692,5601
entropy_ceiling,tau_H,0.1,0.9789357009329036,873473,18795,0.9988620140519512,0.9658358219979528,0.9985294040230329,0.2957701516360734,5559
entropy_ceiling,tau_H,0.104,0.9791721769692514,873684,18584,0.998835963574931,0.9656965119538602,0.9984959145195867,0.2978906586310805,5536
entropy_ceiling,tau_H,0.114,0.9810426912093676,875353,16915,0.9987605000496942,0.9645445746774811,0.9983999642368956,0.3232633757020396,5468
entropy_ceiling,tau_H,0.124,0.9824738755620509,876630,15638,0.9986676248816491,0.9633646228087679,0.9982813642242632,0.3443534978897557,5385
entropy_ceiling,tau_H,0.134,0.9832404613860409,877314,14954,0.9985888746788493,0.9618606084960429,0.9981804999300181,0.3554232981142169,5315
entropy_ceiling,tau_H,0.134031,0.9832438236045672,877317,14951,0.9985877396653661,0.96185764487125,0.9981790393672966,0.35542773058658284,5314
entropy_ceiling,tau_H,0.144,0.9840955856312229,878077,14191,0.9984978538328643,0.9605341912365425,0.9980639890342864,0.368825311817349,5234
entropy_ceiling,tau_H,0.15,0.9845225873840595,878458,13810,0.9984495559264074,0.9597250737273577,0.9980021589712225,0.375887038377987,5191
entropy_ceiling,tau_H,0.154,0.9847299241931796,878643,13625,0.9984157388154233,0.9592285037793951,0.9979587955815126,0.37878899082568807,5161
entropy_ceiling,tau_H,0.164,0.9854427145207494,879279,12989,0.9983361367666008,0.9576871862508913,0.9978569931639399,0.39187004388328583,5090
entropy_ceiling,tau_H,0.174,0.9860580005110572,879828,12440,0.998259887159763,0.9564971913214628,0.9977594845964574,0.4036977491961415,5022
entropy_ceiling,tau_H,0.184,0.9866923390730139,880394,11874,0.998167865751016,0.9551796158284506,0.997641771914833,0.4160350345292235,4940
entropy_ceiling,tau_H,0.2,0.9878410970694903,881419,10849,0.9978353087464645,0.94953753704494,0.9972154642661663,0.4281500599133561,4645
entropy_ceiling,tau_H,0.25,0.9938998148538332,886825,5443,0.9952797902630169,0.9280144765523696,0.9939492951784363,0.4348704758405291,2367
entropy_ceiling,tau_H,0.3,0.9978582667987645,890357,1911,0.9936093050315772,0.9188507027591603,0.9918276855092614,0.45159602302459445,863
entropy_ceiling,tau_H,0.35,0.99887253605419,891262,1006,0.9931827004853792,0.9143425176045499,0.9912861668550382,0.474155069582505,477
