target,phase6_e7_recall,loo_e7_recall,phase6_ae_on_missed_p95,loo_ae_on_missed_p95,phase6_binary_recall_p95,loo_binary_recall_p95
Recon_Ping_Sweep,0.7100591715976331,0.0,0.08,0.06451612903225806,,0.8284023668639053
Recon_VulScan,0.3319630010277492,0.0,0.2635514018691589,0.3448275862068966,,0.6485097636176773
MQTT_Malformed_Data,0.8282770463651975,0.0,0.1383647798742138,0.2584745762711864,,0.7996565540927304
MQTT_DoS_Connect_Flood,0.9990418396678378,0.0,,,,1.0
ARP_Spoofing,0.7098623853211009,0.0,0.1507936507936507,0.20569620253164558,,0.8560779816513762
