target,n_test_samples,loo_e7_recall,pct_called_benign,pct_called_other_attack,ae_recall_p90,ae_recall_p95,ae_recall_p99,ae_on_missed_p90,ae_on_missed_p95,ae_on_missed_p99,binary_recall_p90,binary_recall_p95,binary_recall_p99,n_loo_e7_called_benign
Recon_Ping_Sweep,169,0.0,18.34319526627219,81.65680473372781,0.5443786982248521,0.5088757396449705,0.22485207100591717,0.16129032258064516,0.06451612903225806,0.0,0.8461538461538461,0.8284023668639053,0.8165680473372781,31
Recon_VulScan,973,0.0,53.648509763617675,46.351490236382325,0.6300102774922919,0.5734840698869476,0.43268242548818087,0.44061302681992337,0.3448275862068966,0.10919540229885058,0.6998972250770812,0.6485097636176773,0.5220966084275437,522
MQTT_Malformed_Data,1747,0.0,27.01774470520893,72.98225529479107,0.5575271894676589,0.4699484831139096,0.2289639381797367,0.3347457627118644,0.2584745762711864,0.019067796610169493,0.8202633085289067,0.7996565540927304,0.7349742415569548,472
MQTT_DoS_Connect_Flood,3131,0.0,0.0,100.0,0.9996806132226126,0.9996806132226126,0.988502076014053,,,,1.0,1.0,1.0,0
ARP_Spoofing,1744,0.0,18.119266055045873,81.88073394495413,0.5527522935779816,0.2861238532110092,0.024655963302752295,0.31962025316455694,0.20569620253164558,0.04113924050632911,0.8767201834862385,0.8560779816513762,0.8262614678899083,316
