feature,importance
IAT,0.17072014928985307
Min,0.0850792977527781
TCP,0.07125283765741611
Header_Length,0.06406178274299762
fin_count,0.0640141632038972
rst_count,0.06107379938418361
Rate,0.05714677145546907
syn_flag_number,0.05516375581380964
syn_count,0.05189104312303565
Max,0.043644899827582496
Tot sum,0.04255837074917788
Protocol Type,0.04044995058943301
ack_flag_number,0.031854909830031766
ack_count,0.02331008273777628
ICMP,0.02118786410323703
Variance,0.021084190400354048
Duration,0.020153435035751496
psh_flag_number,0.019887787197421302
Covariance,0.015326146145757596
rst_flag_number,0.01224272295514814
fin_flag_number,0.010763401578238298
HTTPS,0.009127539721459514
ARP,0.007484714010388376
DNS,0.0002805502336006118
HTTP,0.00022842606133875826
ece_flag_number,7.619328484594339e-06
cwr_flag_number,3.6076924088716996e-06
DHCP,1.8137896981185995e-07
