feature,importance
IAT,0.13930909134376798
Magnitue,0.07478106439058689
Tot size,0.05132056496759516
TCP,0.04955458775533643
fin_count,0.0492806377935852
syn_count,0.04795577592901306
Min,0.04708439198398811
syn_flag_number,0.045093670365762235
AVG,0.04470944386072463
rst_count,0.042084724869640024
Rate,0.04027478007742122
Header_Length,0.04010240692321156
Srate,0.03631067453701299
Protocol Type,0.0318042590717256
Tot sum,0.027759544620201443
ack_flag_number,0.02109405102523243
Max,0.020344349936020578
UDP,0.019290783447151707
rst_flag_number,0.017011287368782158
Number,0.01603769975132629
ack_count,0.01590912888642546
Weight,0.015182755012027337
psh_flag_number,0.013967866888271537
Duration,0.013900092268122504
fin_flag_number,0.012707812638518215
ICMP,0.01216622020257365
Variance,0.011625205585227687
Covariance,0.009768187144365306
Std,0.007255911880447318
HTTPS,0.006751438206181957
Radius,0.006723145595990253
ARP,0.005011364864940241
IPv,0.003671966534093487
LLC,0.003605025427511233
DNS,0.00022434323130574694
HTTP,0.0001911866356031417
SSH,5.2524294660071164e-05
Telnet,2.7677646536493288e-05
SMTP,2.7007041227598007e-05
IRC,1.6197160376053052e-05
ece_flag_number,7.852293950614533e-06
cwr_flag_number,2.2340871034552483e-06
IGMP,9.6863913687553e-07
DHCP,9.781731795702934e-08
